"rules","support","confidence","lift","count"
"{waitress,fifteen} => {fuckin}",0.117647058823529,0.833333333333333,2.95138888888889,10
"{friday,dollar} => {fuckin}",0.117647058823529,0.833333333333333,2.95138888888889,10
"{friday,parking} => {fuckin}",0.117647058823529,0.833333333333333,2.95138888888889,10
"{bullshit,nothin} => {fuckin}",0.117647058823529,0.833333333333333,2.95138888888889,10
"{treat,television} => {fuckin}",0.117647058823529,0.833333333333333,2.95138888888889,10
"{shower,suck} => {fuckin}",0.117647058823529,0.833333333333333,2.95138888888889,10
"{fucked,sentence} => {fuckin}",0.117647058823529,0.833333333333333,2.95138888888889,10
"{beer,society} => {fuckin}",0.117647058823529,0.833333333333333,2.95138888888889,10
"{tied,neighborhood} => {fuckin}",0.117647058823529,0.833333333333333,2.95138888888889,10
"{storms,fucked} => {fuckin}",0.117647058823529,0.833333333333333,2.95138888888889,10
"{nuts,fucked} => {fuckin}",0.117647058823529,0.833333333333333,2.95138888888889,10
"{fucked,accident} => {fuckin}",0.117647058823529,0.833333333333333,2.95138888888889,10
"{fucked,clutching} => {fuckin}",0.117647058823529,0.833333333333333,2.95138888888889,10
"{bullshit,tied} => {fuckin}",0.152941176470588,0.8125,2.87760416666667,13
"{talked,neighborhood} => {fuckin}",0.141176470588235,0.8,2.83333333333333,12
"{fucked,guilty} => {fuckin}",0.141176470588235,0.8,2.83333333333333,12
